id,slot_start_date_time,slot_length,user_id,msg_tmpl,last_updated,status
1,2023-05-16 20:15:00,45,,,2023-06-29 17:39:37.60915,
3,2023-07-12 13:00:00,30,,,2023-06-29 18:53:39.502792,
6,2023-07-01 13:45:00,60,1,1,2023-06-29 05:36:22.295789,sent
7,2023-06-30 09:00:00,60,1,1,2023-06-29 05:36:22.295789,sent
2,2023-06-01 11:30:00,180,1,1,2023-06-29 17:39:37.60915,sent
8,2023-06-30 08:45:00,60,1,1,2023-06-29 05:36:22.295789,sent
4,2023-07-06 13:30:00,60,,,2023-06-29 18:53:39.502792,
9,2023-06-29 21:40:00,90,1,1,2023-06-29 05:36:22.295789,sent
10,2023-07-03 13:45:00,180,1,1,2023-06-29 05:36:22.295789,sent
11,2023-06-27 13:44:00,180,1,1,2023-06-29 05:36:22.295789,draft
12,2023-07-03 13:50:00,180,1,1,2023-06-29 05:36:22.295789,sent
13,2023-07-09 09:00:00,60,,,2023-06-29 22:11:40.6165,
14,2023-06-29 22:26:00,60,1,1,2023-06-29 05:36:22.295789,sent
15,2023-06-30 10:30:00,60,1,1,2023-06-29 05:36:22.295789,sent
5,2023-07-08 13:45:00,120,1,1,2023-06-29 18:53:39.502792,sent
16,2023-07-07 14:15:00,60,,,2023-06-30 00:06:44.703993,
17,2023-07-03 00:45:00,180,1,1,2023-06-29 05:36:22.295789,sent
18,2023-07-04 13:30:00,90,,,2023-07-02 11:05:53.691009,
19,2023-07-02 23:41:00,60,1,1,2023-06-30 00:45:13.026331,draft
20,2023-07-02 23:41:00,60,1,1,2023-06-30 00:45:13.026331,sent
21,2023-07-22 13:00:00,180,1,1,2023-06-30 00:45:13.026331,draft
22,2023-07-04 03:02:00,45,1,1,2023-06-30 00:45:13.026331,draft
